1705,ABXO,ABAIXO
2099,ABSD,ABASTECIDA
2098,ABSD,ABASTECIDO
1706,ABST,ABASTECIMENTO
1707,ABTM,ABATIMENTO
1395,ABC,ABC
1709,ABER,ABERTA
1708,ABER,ABERTO
2019,ABTR,ABERTURA
1923,ABONO,ABONO
1710,ABGC,ABRANGENCIA
2018,ABRE,ABRE
1376,ABRV,ABREVIADA
1411,ABRV,ABREVIADO
2011,ABLT,ABSOLUTA
2010,ABLT,ABSOLUTO
1954,ABSC,ABSORCAO
1711,ACAD,ACADEMICA
1712,ACAO,ACAO
1902,ACET,ACEITA
1713,ACEI,ACEITE
1901,ACET,ACEITO
1714,ACEL,ACELERACAO
1844,ACTV,ACERTIVIDADE
1715,ACRT,ACERTO
1413,ACSD,ACESSADA
1412,ACSD,ACESSADO
1716,ACES,ACESSO
1361,ACSR,ACESSORIA
1360,ACSR,ACESSORIO
1718,ACDD,ACIDENTADA
1717,ACDD,ACIDENTADO
1719,ACDT,ACIDENTE
1720,ACIMA,ACIMA
2132,ACNR,ACIONARIA
2131,ACNR,ACIONARIO
1721,ACO,ACO
1722,ACMP,ACOMPANHAMENTO
1528,ACND,ACONDICIONAMENTO
2216,ACDO,ACORDADA
2215,ACDO,ACORDADO
1723,ACOR,ACORDO
1724,ACP,ACP
934,ACML,ACUMULADA
933,ACML,ACUMULADO
1725,ADE,ADE
2187,ADQD,ADEQUADA
2186,ADQD,ADEQUADO
1,ADRC,ADERENCIA
2,ADRT,ADERENTE
3,ADTM,ADIANTAMENTO
1238,ADIL,ADICIONAL
2246,ADTV,ADITIVA
2245,ADTV,ADITIVO
4,ADJC,ADJACENTE
1883,ADMC,ADMINISTRACAO
5,ADMD,ADMINISTRADOR
1415,ADMT,ADMINISTRATIVA
1414,ADMT,ADMINISTRATIVO
6,ADMS,ADMISSAO
7,ADMV,ADMISSIVEL
1485,AEREA,AEREA
8,ARNV,AERONAVE
9,ARPT,AEROPORTO
1305,AFTM,AFASTAMENTO
2280,AFRC,AFERICAO
925,AFTD,AFETADO
1590,AFTV,AFIRMATIVA
1588,AFTV,AFIRMATIVO
10,AGEN,AGENCIA
11,AGDA,AGENDA
12,AGDM,AGENDAMENTO
13,AGNT,AGENTE
14,AGLU,AGLUTINACAO
2037,AGRD,AGRADECIMENTO
15,AGRC,AGREGACAO
16,AGPM,AGRUPAMENTO
1312,AGND,AGUARDANDO
1935,AJUDA,AJUDA
2335,AJZM,AJUIZAMENTO
1417,AJTD,AJUSTADA
1416,AJTD,AJUSTADO
17,AJTE,AJUSTE
18,ALRM,ALARME
1636,ALAV,ALAVANCA
19,ALCD,ALCADA
1335,ALNC,ALCANCE
20,ALRT,ALERTA
981,ALFG,ALFANDEGARIA
982,ALFG,ALFANDEGARIO
1633,ALIAS,ALIAS
1580,ALIM,ALIMENTACAO
21,ALIN,ALINHAMENTO
22,AQ,ALIQUOTA
2214,ALIV,ALIVIO
23,ALMX,ALMOXARIFADO
24,ALOC,ALOCACAO
1232,ALOD,ALOCADA
1235,ALOD,ALOCADO
1445,ALTA,ALTA
25,ALTR,ALTERACAO
1288,ATRD,ALTERADA
1287,ATRD,ALTERADO
27,ALTN,ALTERNATIVA
26,ALTN,ALTERNATIVO
28,ALTD,ALTITUDE
29,ALTO,ALTO
30,AL,ALTURA
31,ALUG,ALUGUEL
1350,ALVO,ALVO
1302,AMNH,AMANHA
1767,AMSM,AMASSAMENTO
32,AMBI,AMBIENTAL
1514,AMBT,AMBIENTE
33,AMTZ,AMORTIZACAO
34,AMST,AMOSTRA
1437,AMPD,AMPLIADA
35,AMV,AMV
932,ANLD,ANALISADA
927,ANLD,ANALISADO
36,ANLS,ANALISE
37,ALST,ANALISTA
1419,ANLT,ANALITICA
1418,ANLT,ANALITICO
38,ANXC,ANEXACAO
1697,ANXD,ANEXADA
1696,ANXD,ANEXADO
39,ANEXO,ANEXO
40,AG,ANGULO
41,AN,ANO
42,ANOM,ANOMALIA
993,ANMA,ANONIMA
992,ANMA,ANONIMO
43,ANOR,ANORMAL
44,ANTC,ANOTACAO
1560,ATCD,ANTECEDENCIA
46,ATCP,ANTECIPADA
45,ATCP,ANTECIPADO
47,ATEN,ANTENA
1313,APJT,ANTEPROJETO
48,ANTR,ANTERIOR
2261,ANTG,ANTIGA
2260,ANTG,ANTIGO
1229,ANTT,ANTT
49,ANUAL,ANUAL
1294,ANZD,ANUALIZADA
1293,ANZD,ANUALIZADO
1023,ANULA,ANULA
50,ANUN,ANUNCIO
1577,APRL,APARELHO
51,APLD,APELIDO
1683,APFM,APERFEICOAMENTO
52,APLC,APLICACAO
1091,APLI,APLICADA
1347,APLI,APLICADO
1572,APOIO,APOIO
1998,APOL,APOLICE
1379,APDD,APRENDIDA
53,APTC,APRESENTACAO
1616,APPC,APROPRIACAO
2229,APPD,APROPRIADA
2228,APPD,APROPRIADO
54,APRV,APROVACAO
1948,APRD,APROVADA
1947,APRD,APROVADO
1420,APVD,APROVADOR
1421,APVD,APROVADORA
1819,APTM,APROVEITAMENTO
55,APXM,APROXIMACAO
56,APTD,APTIDAO
57,APUR,APURACAO
1423,APUD,APURADA
1422,APUD,APURADO
1624,AQSC,AQUISICAO
58,AR,AREA
59,ARGU,ARGUMENTO
1529,AMZG,ARMAZENAGEM
60,AMZN,ARMAZENAMENTO
61,ARO,ARO
1618,AQTR,ARQUITETURA
1366,AQVM,ARQUIVAMENTO
62,ARQV,ARQUIVO
1972,ARRD,ARREDONDAR
64,ARDD,ARRENDADA
63,ARDD,ARRENDADO
65,ARDM,ARRENDAMENTO
973,ARVR,ARVORE
1478,ASDT,ASCENDENTE
66,ASSR,ASSESSORIA
1408,ASLD,ASSINALADA
1407,ASLD,ASSINALADO
1559,ASIN,ASSINATURA
1574,ASCN,ASSINCRONA
1563,ASCN,ASSINCRONO
67,ASSC,ASSOCIACAO
1242,ASSD,ASSOCIADA
1241,ASSD,ASSOCIADO
68,ASNT,ASSUNTO
2109,ATA,ATA
69,ATDT,ATENDENTE
1406,ATDD,ATENDIDA
1405,ATDD,ATENDIDO
70,ATDM,ATENDIMENTO
1614,ATTD,ATESTADO
1425,ATIVA,ATIVA
2154,ATVC,ATIVACAO
71,ATIV,ATIVAR
72,ATVD,ATIVIDADE
1424,ATIVO,ATIVO
73,ATRAS,ATRAS
74,ATRS,ATRASO
75,ATTV,ATRATIVIDADE
1874,ATRB,ATRIBUIÇÃO
76,ATBT,ATRIBUTO
77,ATUA,ATUACAO
78,ATUAL,ATUAL
79,ATLZ,ATUALIZACAO
1857,ADTA,AUDITIVA
1858,ADTA,AUDITIVO
80,AUDT,AUDITORIA
81,AUSN,AUSENCIA
1552,ATTC,AUTENTICACAO
82,ATMC,AUTOMACAO
1410,AUTO,AUTOMATICA
1409,AUTO,AUTOMATICO
1658,ATMT,AUTOMATIZADO
2340,AUMT,AUTOMOTOR
83,AUTM,AUTOMOVEL
84,ATNM,AUTONOMIA
85,AUTOR,AUTOR
1244,ATZD,AUTORIZADA
1243,ATZD,AUTORIZADO
2257,ATZV,AUTORIZATIVA
2090,AUTOTRAC,AUTOTRAC
1269,AUXL,AUXILIAR
1270,AUXL,AUXILIO
86,AVAL,AVALIACAO
2100,AVLD,AVALIADO
2101,AVLR,AVALIADOR
977,AVCD,AVANCADA
983,AVCD,AVANCADO
87,AVAR,AVARIA
89,AVAD,AVARIADA
88,AVAD,AVARIADO
90,AVISO,AVISO
1744,BACEN,BACEN
1992,BKLG,BACKLOG
1937,BKUP,BACKUP
92,BRRO,BAIRRO
93,BAIXA,BAIXA
94,BAIXO,BAIXO
95,BLNC,BALANCA
96,BLAN,BALANCO
1487,BALC,BALCAO
1427,BLDD,BALDEADA
1426,BLDD,BALDEADO
97,BLDO,BALDEIO
1779,BAM,BAM
99,BNCR,BANCARIA
98,BNCR,BANCARIO
100,BANCO,BANCO
1745,BACEN,BANCO.CENTRAL.DO.BRASIL
1699,BD,BANCO_DADOS
101,BDGM,BANDAGEM
1659,BARRA,BARRA
102,BRMT,BARRAMENTO
103,BASE,BASE
104,BSCA,BASICA
2238,BSCO,BASICO
1700,BD,BD
1569,BNFR,BENEFICIARIA
1568,BNFR,BENEFICIARIO
1338,BNFC,BENEFICIO
105,BILH,BILHETE
2094,BMSL,BIMENSAL
106,BT,BITOLA
956,BLKT,BLANKET
1362,BLCG,BLOCAGEM
1693,BLOCO,BLOCO
1429,BLQD,BLOQUEADA
1428,BLQD,BLOQUEADO
107,BLOQ,BLOQUEIO
108,BLTM,BOLETIM
1567,BLET,BOLETO
926,BOMBA,BOMBA
109,BMBR,BOMBEIRO
2141,BONF,BONIFICACAO
1977,BONUS,BONUS
1825,BORDO,BORDO
2259,BPEL,BPEL
